,location,type,subtype,price,room_number,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition
0,6800,0,HOUSE,295000,5,460,1,0,0,1,10.0,0,None,321,2,0,TO_BE_DONE_UP
1,7800,0,HOUSE,230000,4,128,0,0,0,0,None,0,None,570,4,0,unknown
2,6044,0,HOUSE,130000,2,110,1,1,0,1,None,1,300.0,470,3,0,TO_BE_DONE_UP
3,4970,0,HOUSE,450000,9,400,1,0,0,0,None,1,1300.0,1500,4,0,unknown
4,9890,0,MANSION,435000,5,452,0,0,0,0,None,1,None,460,4,0,TO_RENOVATE
5,9450,0,HOUSE,265000,3,180,0,0,0,0,None,1,None,240,0,0,TO_BE_DONE_UP
6,4020,0,HOUSE,121000,3,85,1,0,0,1,20.0,0,None,69,0,0,GOOD
7,1160,0,HOUSE,550000,3,150,0,0,1,1,10.0,1,100.0,141,2,0,TO_RENOVATE
8,1850,0,HOUSE,490000,4,200,1,0,0,0,None,1,90.0,190,0,0,GOOD
9,8380,0,MIXED_USE_BUILDING,519000,3,310,0,0,0,0,None,0,None,464,0,0,JUST_RENOVATED
10,2170,0,HOUSE,325000,3,145,1,0,0,1,17.0,1,62.0,130,2,0,JUST_RENOVATED
11,8830,0,HOUSE,245000,3,131,1,0,0,1,None,1,1.0,672,0,0,GOOD
12,6000,0,TOWN_HOUSE,150000,2,80,1,0,0,1,45.0,0,None,0,2,0,TO_RENOVATE
13,6044,0,HOUSE,145000,3,120,1,0,0,1,None,0,None,0,2,0,TO_BE_DONE_UP
14,9600,1,APARTMENT,165000,1,69,1,0,0,0,None,1,42.0,0,2,0,GOOD
15,2000,0,MIXED_USE_BUILDING,829000,3,308,1,0,0,0,None,0,None,83,3,0,unknown
16,2560,0,HOUSE,324000,3,196,1,0,0,1,11.0,1,30.0,126,2,0,unknown
17,8000,0,HOUSE,405000,4,166,0,0,0,0,None,0,None,195,0,0,unknown
18,1500,0,MIXED_USE_BUILDING,550000,4,474,0,0,0,0,None,0,None,229,0,0,unknown
19,8710,0,HOUSE,412000,3,142,1,0,0,1,15.0,0,None,389,2,0,GOOD
20,1325,1,DUPLEX,265000,2,93,1,0,0,1,12.0,0,None,0,4,0,unknown
21,1330,0,VILLA,749000,9,420,1,0,0,1,None,0,None,1296,4,0,GOOD
22,9120,1,APARTMENT,322500,2,106,1,0,0,1,32.0,0,None,0,0,0,unknown
23,9402,1,APARTMENT,167990,1,60,0,0,0,0,None,0,None,0,0,0,unknown
24,2000,1,APARTMENT,256000,1,80,1,0,0,0,None,0,None,0,2,0,GOOD
25,8310,1,GROUND_FLOOR,219000,2,92,0,0,0,0,None,0,None,0,0,0,unknown
26,4500,1,APARTMENT,208000,2,90,0,0,0,1,10.0,0,None,0,0,0,unknown
27,3590,1,APARTMENT,221340,2,99,1,0,0,1,10.0,0,None,0,0,0,AS_NEW
28,2000,1,APARTMENT,235000,1,50,1,1,0,1,4.0,0,None,0,2,0,AS_NEW
29,4987,0,HOUSE,120000,2,120,0,0,0,0,None,0,None,400,3,0,TO_RESTORE
30,8800,1,PENTHOUSE,120000,2,88,0,0,0,1,None,0,None,0,2,0,GOOD
31,9280,1,APARTMENT,230000,2,92,1,0,0,1,None,0,None,0,0,0,AS_NEW
32,4500,1,APARTMENT,183000,2,80,0,0,0,1,5.0,0,None,0,2,0,unknown
33,7500,0,VILLA,2400000,5,536,1,0,0,1,None,0,None,7165,4,1,AS_NEW
34,1050,1,APARTMENT,345000,1,65,0,1,0,1,7.0,0,None,0,0,0,unknown
35,9200,0,MIXED_USE_BUILDING,1290000,2,1108,1,0,0,0,None,0,None,2340,4,0,unknown
36,7700,0,HOUSE,219000,3,115,1,0,0,1,17.0,1,134.0,229,2,0,GOOD
37,4680,0,HOUSE,429000,6,270,1,0,1,1,None,1,None,1724,4,0,GOOD
38,9300,1,PENTHOUSE,450000,1,123,0,0,0,0,None,0,None,0,0,0,AS_NEW
39,9600,0,MANSION,265000,4,245,1,0,0,0,None,0,None,237,2,0,unknown
40,4100,0,HOUSE,165000,2,120,1,0,0,1,40.0,1,145.0,246,2,0,GOOD
41,1000,0,MIXED_USE_BUILDING,595000,3,304,1,0,0,1,40.0,0,None,71,2,0,AS_NEW
42,1620,0,HOUSE,325000,3,150,1,0,0,1,24.0,1,100.0,0,2,0,GOOD
43,9040,1,DUPLEX,275000,3,104,1,0,0,1,37.0,0,None,0,0,0,unknown
44,3740,0,HOUSE,415000,3,163,1,0,0,1,None,1,None,468,0,0,AS_NEW
45,6600,0,HOUSE,120000,3,121,1,0,0,0,None,0,None,176,3,0,TO_BE_DONE_UP
46,7134,0,HOUSE,95000,2,119,1,0,0,0,None,0,None,170,2,0,TO_RENOVATE
47,1770,1,APARTMENT,189000,3,96,1,0,0,1,8.0,0,None,0,4,0,TO_RENOVATE
48,8300,0,VILLA,3000000,4,260,1,0,0,1,None,1,1171.0,1171,4,1,AS_NEW
49,8301,1,APARTMENT,308500,2,83,1,0,0,1,None,0,None,0,0,0,AS_NEW
50,8210,0,HOUSE,435000,4,282,1,0,0,0,None,0,None,989,4,0,GOOD
51,6800,0,HOUSE,175000,3,172,0,0,0,1,None,1,1000.0,1254,4,0,TO_RENOVATE
52,1420,0,HOUSE,295000,4,180,1,0,0,1,22.0,1,82.0,190,2,0,TO_RENOVATE
53,4051,0,HOUSE,235000,3,134,1,0,0,1,44.0,1,400.0,563,4,0,unknown
54,4100,0,HOUSE,275000,5,300,1,0,0,1,25.0,1,280.0,355,2,0,GOOD
55,1000,1,LOFT,750000,2,172,1,0,0,1,33.0,0,None,0,0,0,AS_NEW
56,8620,1,APARTMENT,675000,3,130,1,1,0,1,None,1,None,0,0,0,unknown
57,4870,1,APARTMENT,175000,2,100,1,0,0,0,None,0,None,0,0,0,AS_NEW
58,9200,0,HOUSE,277500,4,154,1,0,0,1,None,1,242.0,481,3,0,unknown
59,8930,1,PENTHOUSE,193600,2,82,1,0,0,1,10.0,1,12.0,0,2,0,GOOD
60,4250,0,HOUSE,219000,3,163,1,0,0,1,24.0,1,950.0,1223,3,0,GOOD
61,9100,1,APARTMENT,313000,3,130,1,0,0,1,9.0,0,None,0,3,0,GOOD
62,8400,1,APARTMENT,589000,3,116,1,0,1,0,None,0,None,0,2,0,JUST_RENOVATED
