,location,type,subtype,price,room_number,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition,province,region
0,6800,HOUSE,HOUSE,295000,5,460,1,0,0,1,10.0,0,None,321.0,2,0,TO_BE_DONE_UP,Luxembourg,Region Wallonne
1,7800,HOUSE,HOUSE,230000,4,128,0,0,0,0,None,0,None,570.0,4,0,any_information,Hainaut,Region Wallonne
3,6044,HOUSE,HOUSE,130000,2,110,1,1,0,1,None,1,300.0,470.0,3,0,TO_BE_DONE_UP,Hainaut,Region Wallonne
4,4970,HOUSE,HOUSE,450000,9,400,1,0,0,0,None,1,1300.0,1500.0,4,0,any_information,Liege,Region Wallonne
5,9890,HOUSE,MANSION,435000,5,452,0,0,0,0,None,1,None,460.0,4,0,TO_RENOVATE,Flandre-Orientale,Region Flamande
6,9450,HOUSE,HOUSE,265000,3,180,0,0,0,0,None,1,None,240.0,0,0,TO_BE_DONE_UP,Flandre-Orientale,Region Flamande
7,4020,HOUSE,HOUSE,121000,3,85,1,0,0,1,20.0,0,None,69.0,0,0,GOOD,Liege,Region Wallonne
8,1160,HOUSE,HOUSE,550000,3,150,0,0,1,1,10.0,1,100.0,141.0,2,0,TO_RENOVATE,Bruxelles,Bruxelles-capitale
9,1850,HOUSE,HOUSE,490000,4,200,1,0,0,0,None,1,90.0,190.0,0,0,GOOD,Brabant_Flamand,Region Flamande
11,8380,HOUSE,MIXED_USE_BUILDING,519000,3,310,0,0,0,0,None,0,None,464.0,0,0,JUST_RENOVATED,Flandre-Occidentale,Region Flamande
12,2170,HOUSE,HOUSE,325000,3,145,1,0,0,1,17.0,1,62.0,130.0,2,0,JUST_RENOVATED,Anvers,Region Flamande
13,8830,HOUSE,HOUSE,245000,3,131,1,0,0,1,None,1,1.0,672.0,0,0,GOOD,Flandre-Occidentale,Region Flamande
16,6000,HOUSE,TOWN_HOUSE,150000,2,80,1,0,0,1,45.0,0,None,0.0,2,0,TO_RENOVATE,,Region Wallonne
18,6044,HOUSE,HOUSE,145000,3,120,1,0,0,1,None,0,None,0.0,2,0,TO_BE_DONE_UP,Hainaut,Region Wallonne
19,9600,APARTMENT,APARTMENT,165000,1,69,1,0,0,0,None,1,42.0,0.0,2,0,GOOD,Flandre-Orientale,Region Flamande
20,2000,HOUSE,MIXED_USE_BUILDING,829000,3,308,1,0,0,0,None,0,None,83.0,3,0,any_information,,Region Wallonne
21,2560,HOUSE,HOUSE,324000,3,196,1,0,0,1,11.0,1,30.0,126.0,2,0,any_information,Anvers,Region Flamande
22,8000,HOUSE,HOUSE,405000,4,166,0,0,0,0,None,0,None,195.0,0,0,any_information,,Region Wallonne
23,1500,HOUSE,MIXED_USE_BUILDING,550000,4,474,0,0,0,0,None,0,None,229.0,0,0,any_information,,Region Wallonne
24,8710,HOUSE,HOUSE,412000,3,142,1,0,0,1,15.0,0,None,389.0,2,0,GOOD,Flandre-Occidentale,Region Flamande
25,1325,APARTMENT,DUPLEX,265000,2,93,1,0,0,1,12.0,0,None,0.0,4,0,any_information,Brabant_Wallon,Region Wallonne
26,1330,HOUSE,VILLA,749000,9,420,1,0,0,1,None,0,None,1296.0,4,0,GOOD,Brabant_Wallon,Region Wallonne
28,9120,APARTMENT,APARTMENT,322500,2,106,1,0,0,1,32.0,0,None,0.0,0,0,any_information,Flandre-Orientale,Region Flamande
29,9402,APARTMENT,APARTMENT,167990,1,60,0,0,0,0,None,0,None,0.0,0,0,any_information,Flandre-Orientale,Region Flamande
30,2000,APARTMENT,APARTMENT,256000,1,80,1,0,0,0,None,0,None,0.0,2,0,GOOD,,Region Wallonne
31,8310,APARTMENT,GROUND_FLOOR,219000,2,92,0,0,0,0,None,0,None,0.0,0,0,any_information,Flandre-Occidentale,Region Flamande
32,4500,APARTMENT,APARTMENT,208000,2,90,0,0,0,1,10.0,0,None,0.0,0,0,any_information,Liege,Region Wallonne
33,3590,APARTMENT,APARTMENT,221340,2,99,1,0,0,1,10.0,0,None,0.0,0,0,AS_NEW,Limbourg,Region Flamande
34,2000,APARTMENT,APARTMENT,235000,1,50,1,1,0,1,4.0,0,None,0.0,2,0,AS_NEW,,Region Wallonne
35,4987,HOUSE,HOUSE,120000,2,120,0,0,0,0,None,0,None,400.0,3,0,TO_RESTORE,Liege,Region Wallonne
36,8800,APARTMENT,PENTHOUSE,120000,2,88,0,0,0,1,None,0,None,0.0,2,0,GOOD,Flandre-Occidentale,Region Flamande
37,9280,APARTMENT,APARTMENT,230000,2,92,1,0,0,1,None,0,None,0.0,0,0,AS_NEW,Flandre-Orientale,Region Flamande
38,4500,APARTMENT,APARTMENT,183000,2,80,0,0,0,1,5.0,0,None,0.0,2,0,any_information,Liege,Region Wallonne
39,7500,HOUSE,VILLA,2400000,5,536,1,0,0,1,None,0,None,7165.0,4,1,AS_NEW,Hainaut,Region Wallonne
40,1050,APARTMENT,APARTMENT,345000,1,65,0,1,0,1,7.0,0,None,0.0,0,0,any_information,Bruxelles,Bruxelles-capitale
41,9200,HOUSE,MIXED_USE_BUILDING,1290000,2,1108,1,0,0,0,None,0,None,2340.0,4,0,any_information,Flandre-Orientale,Region Flamande
42,7700,HOUSE,HOUSE,219000,3,115,1,0,0,1,17.0,1,134.0,229.0,2,0,GOOD,Hainaut,Region Wallonne
43,4680,HOUSE,HOUSE,429000,6,270,1,0,1,1,None,1,None,1724.0,4,0,GOOD,Liege,Region Wallonne
44,9300,APARTMENT,PENTHOUSE,450000,1,123,0,0,0,0,None,0,None,0.0,0,0,AS_NEW,Flandre-Orientale,Region Flamande
45,9600,HOUSE,MANSION,265000,4,245,1,0,0,0,None,0,None,237.0,2,0,any_information,Flandre-Orientale,Region Flamande
46,4100,HOUSE,HOUSE,165000,2,120,1,0,0,1,40.0,1,145.0,246.0,2,0,GOOD,Liege,Region Wallonne
47,1000,HOUSE,MIXED_USE_BUILDING,595000,3,304,1,0,0,1,40.0,0,None,71.0,2,0,AS_NEW,,Region Wallonne
48,1620,HOUSE,HOUSE,325000,3,150,1,0,0,1,24.0,1,100.0,0.0,2,0,GOOD,Brabant_Flamand,Region Flamande
49,9040,APARTMENT,DUPLEX,275000,3,104,1,0,0,1,37.0,0,None,0.0,0,0,any_information,Flandre-Orientale,Region Flamande
50,3740,HOUSE,HOUSE,415000,3,163,1,0,0,1,None,1,None,468.0,0,0,AS_NEW,Limbourg,Region Flamande
52,6600,HOUSE,HOUSE,120000,3,121,1,0,0,0,None,0,None,176.0,3,0,TO_BE_DONE_UP,,Region Wallonne
53,7134,HOUSE,HOUSE,95000,2,119,1,0,0,0,None,0,None,170.0,2,0,TO_RENOVATE,Hainaut,Region Wallonne
54,1770,APARTMENT,APARTMENT,189000,3,96,1,0,0,1,8.0,0,None,0.0,4,0,TO_RENOVATE,Brabant_Flamand,Region Flamande
55,8300,HOUSE,VILLA,3000000,4,260,1,0,0,1,None,1,1171.0,1171.0,4,1,AS_NEW,Flandre-Occidentale,Region Flamande
56,8301,APARTMENT,APARTMENT,308500,2,83,1,0,0,1,None,0,None,0.0,0,0,AS_NEW,Flandre-Occidentale,Region Flamande
57,8210,HOUSE,HOUSE,435000,4,282,1,0,0,0,None,0,None,989.0,4,0,GOOD,Flandre-Occidentale,Region Flamande
58,6800,HOUSE,HOUSE,175000,3,172,0,0,0,1,None,1,1000.0,1254.0,4,0,TO_RENOVATE,Luxembourg,Region Wallonne
59,1420,HOUSE,HOUSE,295000,4,180,1,0,0,1,22.0,1,82.0,190.0,2,0,TO_RENOVATE,Brabant_Wallon,Region Wallonne
60,4051,HOUSE,HOUSE,235000,3,134,1,0,0,1,44.0,1,400.0,563.0,4,0,any_information,Liege,Region Wallonne
61,4100,HOUSE,HOUSE,275000,5,300,1,0,0,1,25.0,1,280.0,355.0,2,0,GOOD,Liege,Region Wallonne
62,1000,APARTMENT,LOFT,750000,2,172,1,0,0,1,33.0,0,None,0.0,0,0,AS_NEW,,Region Wallonne
63,8620,APARTMENT,APARTMENT,675000,3,130,1,1,0,1,None,1,None,0.0,0,0,any_information,Flandre-Occidentale,Region Flamande
64,4870,APARTMENT,APARTMENT,175000,2,100,1,0,0,0,None,0,None,0.0,0,0,AS_NEW,Liege,Region Wallonne
65,9200,HOUSE,HOUSE,277500,4,154,1,0,0,1,None,1,242.0,481.0,3,0,any_information,Flandre-Orientale,Region Flamande
66,8930,APARTMENT,PENTHOUSE,193600,2,82,1,0,0,1,10.0,1,12.0,0.0,2,0,GOOD,Flandre-Occidentale,Region Flamande
67,4250,HOUSE,HOUSE,219000,3,163,1,0,0,1,24.0,1,950.0,1223.0,3,0,GOOD,Liege,Region Wallonne
69,9100,APARTMENT,APARTMENT,313000,3,130,1,0,0,1,9.0,0,None,0.0,3,0,GOOD,Flandre-Orientale,Region Flamande
70,8400,APARTMENT,APARTMENT,589000,3,116,1,0,1,0,None,0,None,0.0,2,0,JUST_RENOVATED,Flandre-Occidentale,Region Flamande
71,2830,APARTMENT,APARTMENT,234000,3,106,1,0,0,0,None,0,None,0.0,2,0,GOOD,Anvers,Region Flamande
72,7090,HOUSE,VILLA,540000,3,185,1,0,0,1,25.0,1,None,2222.0,4,0,GOOD,Hainaut,Region Wallonne
73,2180,HOUSE,HOUSE,540000,4,220,1,0,0,1,20.0,1,311.0,312.0,0,0,AS_NEW,Anvers,Region Flamande
74,1420,HOUSE,VILLA,875000,6,302,1,0,0,1,None,1,2500.0,3596.0,4,0,TO_BE_DONE_UP,Brabant_Wallon,Region Wallonne
75,8580,HOUSE,HOUSE,214000,3,125,0,0,0,0,None,1,327.0,486.0,2,0,TO_BE_DONE_UP,Flandre-Occidentale,Region Flamande
76,6183,APARTMENT,APARTMENT,129000,2,117,1,0,0,1,None,0,None,0.0,2,0,GOOD,Hainaut,Region Wallonne
77,1050,APARTMENT,PENTHOUSE,799000,3,164,1,0,0,1,20.0,0,None,0.0,0,0,AS_NEW,Bruxelles,Bruxelles-capitale
78,8400,APARTMENT,APARTMENT,299000,3,114,1,0,0,1,12.0,0,None,0.0,2,0,GOOD,Flandre-Occidentale,Region Flamande
79,3290,HOUSE,HOUSE,229000,3,143,1,0,0,1,63.0,1,190.0,488.0,3,0,GOOD,Brabant_Flamand,Region Flamande
80,8300,APARTMENT,APARTMENT,895000,3,90,0,0,0,1,None,0,None,0.0,2,0,AS_NEW,Flandre-Occidentale,Region Flamande
81,9900,APARTMENT,SERVICE_FLAT,199000,1,67,1,0,0,1,12.0,0,None,0.0,4,0,AS_NEW,Flandre-Orientale,Region Flamande
82,8000,APARTMENT,GROUND_FLOOR,299000,2,90,1,0,0,1,14.0,0,None,0.0,0,0,AS_NEW,,Region Wallonne
83,9991,APARTMENT,APARTMENT,266500,2,99,1,0,0,0,None,0,None,0.0,3,0,AS_NEW,Flandre-Orientale,Region Flamande
84,8870,APARTMENT,APARTMENT,279000,2,101,1,0,0,1,11.0,1,None,0.0,2,0,any_information,Flandre-Occidentale,Region Flamande
85,9140,APARTMENT,APARTMENT,145000,2,85,1,0,0,1,8.0,0,None,0.0,2,0,any_information,Flandre-Orientale,Region Flamande
86,1640,APARTMENT,APARTMENT,449500,2,118,1,0,0,1,17.0,0,None,0.0,4,0,any_information,Brabant_Flamand,Region Flamande
87,6800,HOUSE,HOUSE,539000,5,596,1,0,1,1,38.0,1,1300.0,1500.0,4,0,AS_NEW,Luxembourg,Region Wallonne
88,8434,APARTMENT,APARTMENT,225000,2,52,1,0,0,1,None,0,None,0.0,2,0,GOOD,Flandre-Occidentale,Region Flamande
89,4000,HOUSE,HOUSE,189000,7,264,1,0,0,1,6.0,0,None,100.0,2,0,any_information,,Region Wallonne
90,9550,APARTMENT,APARTMENT,251500,2,86,1,0,0,1,11.0,1,61.0,0.0,0,0,AS_NEW,Flandre-Orientale,Region Flamande
91,8300,APARTMENT,APARTMENT,1325000,3,115,1,0,0,1,15.0,0,None,0.0,2,0,AS_NEW,Flandre-Occidentale,Region Flamande
92,1180,APARTMENT,APARTMENT,575000,3,180,1,0,0,0,None,0,None,0.0,2,0,TO_RENOVATE,Bruxelles,Bruxelles-capitale
93,1080,APARTMENT,APARTMENT,249000,2,101,1,0,0,1,11.0,0,None,0.0,2,0,AS_NEW,Bruxelles,Bruxelles-capitale
94,1040,APARTMENT,APARTMENT,365000,2,90,1,0,0,1,6.0,0,None,0.0,2,0,AS_NEW,Bruxelles,Bruxelles-capitale
95,7904,HOUSE,HOUSE,398000,3,244,1,0,0,1,12.0,1,None,4631.0,4,0,any_information,Hainaut,Region Wallonne
96,1050,APARTMENT,APARTMENT,650000,2,172,1,0,0,1,None,0,None,0.0,2,0,TO_BE_DONE_UP,Bruxelles,Bruxelles-capitale
97,9900,APARTMENT,GROUND_FLOOR,207000,2,90,1,0,0,1,46.0,1,45.0,0.0,4,0,AS_NEW,Flandre-Orientale,Region Flamande
98,1180,APARTMENT,PENTHOUSE,585000,2,122,1,0,0,1,75.0,0,None,0.0,4,0,any_information,Bruxelles,Bruxelles-capitale
99,1180,APARTMENT,PENTHOUSE,1100000,4,297,1,0,0,1,45.0,0,None,0.0,3,1,GOOD,Bruxelles,Bruxelles-capitale
100,8500,HOUSE,HOUSE,230000,3,127,1,0,0,1,20.0,0,None,120.0,4,0,AS_NEW,Flandre-Occidentale,Region Flamande
101,7012,HOUSE,MIXED_USE_BUILDING,205000,4,220,1,0,1,1,32.0,1,147.0,300.0,3,0,any_information,Hainaut,Region Wallonne
102,3090,HOUSE,HOUSE,460000,3,140,1,0,0,1,None,0,None,4117.0,4,0,GOOD,Brabant_Flamand,Region Flamande
